link,link-href,author,text,text1
"The Real Nerevar","https://www.imperial-library.info/content/real-nerevar","Author: 
                    Anonymous","[]","[{""text1"":""[This Telvanni retainer's informal history of Nerevar lists no sources.]""},{""text1"":""When the Dunmer followed Veloth to Morrowind, they were many warring  clans, with no law or leader in common. One Dunmer warlord, Nerevar, had  the ambition to rule all the Dunmer.""},{""text1"":""In that time, House Dwemer were great enchanters, so Nerevar went in  secret to a Dwemer smith and asked for an enchanted ring that would help  him. The ring gave its wearer great powers of persuasion; for safety,  it was enchanted to instantly kill anyone who wore it except Nerevar.  The ring was called Moon-and-Star, and it helped Nerevar unite the  various clans into the First Council.""},{""text1"":""Later, however, disputes over religion divided the Council, with House  Dwemer and House Dagoth on one side and all the other Houses on the  other. Dwemer and Dagoth invited Orc and Nord clans as allies, and held  northwest Morrowind, while Nerevar mustered the other Houses and nomad  tribes and marched to meet the Dwemer-Dagoth-Westerner forces.""},{""text1"":""The armies met at Red Mountain, a Dwemer stronghold. The Dwemer were  defeated, with great slaughter, and terrible sorceries were used,  resulting in the utter extermination of House Dwemer, House Dagoth, and  their allies. Nerevar was killed in the battle, and his ring lost, but  Nerevar's alliance survives in Morrowind's ruling political institution,  the Grand Council.""}]"
"Children of the Sky","https://www.imperial-library.info/content/children-sky","Author: 
                    Anonymous","[]","[{""text1"":""The Elder Scrolls Online version uses a comma instead of a semicolon in the last sentence of the first paragraph.""},{""text1"":""Nords consider themselves to be the children of the sky. They call Skyrim the Throat of the World, because it is where the sky exhaled on the land and formed them. They see themselves as eternal outsiders and invaders, and even when they conquer and rule another people; they feel no kinship with them.""},{""text1"":""The breath and the voice are the vital essence of a Nord. When they defeat great enemies they take their tongues as trophies. These are woven into ropes and can hold speech like an enchantment. The power of a Nord can be articulated into a shout, like the kiai of an Akaviri swordsman. The strongest of their warriors are called \""Tongues.\"" When the Nords attack a city, they take no siege engines or cavalry; the Tongues form in a wedge in front of the gatehouse, and draw in breath. When the leader lets it out in a kiai, the doors are blown in, and the axemen rush into the city. Shouts can be used to sharpen blades or to strike enemies. A common effect is the shout that knocks an enemy back, or the power of command. A strong Nord can instill bravery in men with his battle-cry, or stop a charging warrior with a roar. The greatest of the Nords can call to specific people over hundreds of miles, and can move by casting a shout, appearing where it lands.""},{""text1"":""The most powerful Nords cannot speak without causing destruction. They must go gagged, and communicate through a sign language and through scribing runes.""},{""text1"":""The further north you go into Skyrim, the more powerful and elemental the people become, and the less they require dwellings and shelters. Wind is fundamental to Skyrim and the Nords; those that live in the far wastes always carry a wind with them.""}]"
"The Rear Guard","https://www.imperial-library.info/content/rear-guard","Author: 
                    Tenace Mourl","[]","[{""text1"":""The castle would hold. No matter the forces, the walls of Cascabel Hall would never fail, but that was small consolation for Menegur. He was hungry. In fact, he had never been so hungry. The well in the atrium of the fortress supplied him with enough water to hold there until the Fourth Era, but his stomach reminded Menegur minute to minute that he needed food.""},{""text1"":""The wagonload of supplies mocked him. When his army, the forces of the King of Solitude, had left Cascabel Hall, and he had manned the battlements as the rear-guard to protect their retreat, they had left a wagon behind to supply him with enough food for months. It was not until the night after they left that he inspected the larder and found that nothing edible was in the wagon. Trunk after trunk was filled with netch armor from the army's incursion into Morrowind. Apparently his Nord confederates had assumed that the lightly opaque material was hard tack in aspic. If the Dunmer whose caravan had been raided knew about this, they would never be able to stop laughing.""},{""text1"":""Menegur thought that his fellow mercenary and kinswoman Aerin would have found this amusing as well. She had spoken with great authority about netch leather, being an expert of sorts on light armor, but she had made a point to mention that it could not be eaten like other leather in occasions of hardship. It was a pity she couldn't be there to enjoy the irony, Menegur thought savagely. She had returned to Morrowind even before the king's army had left, preferring a life as a wanted fugitive to a free existence in the cold of Skyrim.""},{""text1"":""All the weeds in the courtyard had been devoured by the rear-guard's sixteenth day manning Cascabel Hall. The entire castle had been scoured: rotten tubers in the mulch pile found and consumed, a dusty bouquet in the countess's bedchamber eaten, almost every rat and insect but the most cunning infesting the castle walls had been tracked down and gobbled up. The castellan's chambers, filled with acrid, inedible law books, had yielded up a couple crumbs of bread. Menegur had even scraped moss from the stones. There was no denying it: he would be dead from starvation before his army returned to break the ranks of the enemies who surrounded the fortress.""},{""text1"":""\""The worst part,\"" said Menegur, who had taken to talking to himself on only the second day alone in the castle. \""Is how close sustenance is.\""""},{""text1"":""A vast arbor of golden apples stretched acre after acre near the castle walls. The sunlight cast a seductive gleam on the fruit, and the cruel wind carried sweet smells into Cascabel to torture him.""},{""text1"":""Like most Bosmer, Menegur was an archer. He was a master of long and medium distance fighting, but in close quarters, as he would be if he dared to leave the castle and enter the enemy camp in the arbor, he knew he would not last long. At some point, he knew he would have to try, but he had been dreading the day. It was upon him now.""},{""text1"":""Menegur put on the netch armor for the first time, feeling the powdery, almost velvet texture of the rendered leather against his skin. There was also a barely perceptible throb, which he recognized as the remnant nematocysts of the netch's venomous flesh, still tingling months after its death with domesticated poison. The combination made him feel energized. Aerin had described the sensation perfectly, just as she had explained how to defend himself while wearing netch leather armor.""},{""text1"":""Under cover of night, Menegur crept out of the back gate of the castle, locking it behind him with a rather cumbersome key. He made for the arbor as quietly as he could, but a passing sentry, coming behind a tree, saw him. Remaining calm, Menegur did as he remembered Aerin had instructed, only moving after the attack had been launched. The sentry's blade glided against the armor and knocked to the left, throwing the young man off balance. That was the trick, as he understood it: you had to be prepared to be hit, and merely move with the blow, allowing the membranous armor to divert the injury away.""},{""text1"":""Use your enemy's momentum against him, as Aerin used to say.""},{""text1"":""There were several more close encounters in the arbor, but each swing of an ax and each thrust of a sword found purchase elsewhere. With handfuls of apples, Menegur ran the gauntlet back to the castle. He locked the back gate door behind him and fell into an orgy of eating.""},{""text1"":""For week after week, the Bosmer stole out to gather his food. The guards began anticipating his raids, but he kept his schedule irregular and always remembered when attacked to wait for the blow, accept it, and then turn. In such a way, he lived and survived his lonely vigil in Cascabel Hall.""},{""text1"":""Four months later, as he was preparing for another seizure of apples, Menegur heard a loud clamor at the front gate. Surveying the group from a safe distance on the battlements, he saw the shields of the King of Solitude, his ally the Count of Cascabel, and their enemy the King of Farrun. Evidently, a truce had been called.""},{""text1"":""Menegur opened the gates and the combined armies flooded the courtyard. Many of the knights of Farrun sought to shake the hand of the man they had named the Shadow of the Arbor, expressing their admiration at his defensive skills and apologizing good-naturedly for their attempts to slay him. Only doing their job, you know.""},{""text1"":""\""There's hardly a apple left on the vines,\"" said the King of Solitude.""},{""text1"":""\""Well, I started on the edges and worked my way in,\"" explained Menegur. \""I brought back extra fruit to tempt the rats of out of walls so I could have a little meat as well.\""""},{""text1"":""\""We've spent the last several months working out the details of the truce,\"" said the King. \""Really quite exhausting. In any rate, the Count will be taking back possession of his castle now, but there is a small detail we need to work out. You're a mercenary, and as such responsible for your own expenses. If you had been a subject of mine, things might be different, but there are certain old rules of law that must be respected.\""""},{""text1"":""Menegur anticipated the strike.""},{""text1"":""\""The problem is,\"" the King continued. \""You've taken a good deal of the Count's crops while here. By any reasonable computation, you've eaten an amount equal to and likely exceeding your mercenary's wages. Obviously, I would not want to penalize you for the excellent job you've done defending the castle in uncomfortable circumstances, but you agree that it's important that we observe the old rules of law, don't you?\""""},{""text1"":""\""Of course,\"" replied Menegur, accepting the blow.""},{""text1"":""\""I'm delighted to hear that,\"" said the King. \""Our estimation is that you owe the Count of Cascabel thirty-seven Imperial gold.\""""},{""text1"":""\""Which I will gladly pay to myself, with interest, after the autumntide harvest,\"" said Menegur. \""There is more left on the vine than you suggest.\""""},{""text1"":""The Kings of Solitude and Farrun, and the Count of Cascabel stared at the Bosmer.""},{""text1"":""\""We agreed to abide to the strictest old rules of law, and I've had time to read a great many books over the time you were making your truce. In 3E 246, during the reign of Uriel IV, the Imperial Council, in an attempt to clear up some questions of property rights in Skyrim during those chaotic days, decreed that any man without a liege who occupied a castle for more than three months would be granted the rights and titles of that estate. It's a good law, of course, meant to discourage absent and foreign landlords.\"" Menegur smiled, feeling the now familiar sensation of a glancing strike diverting. \""By the rule of law, I am the Count of Cascabel.\""""},{""text1"":""The rear-guard's son still hold the title of Count of Cascabel. And he grows the finest, most delectable apples in the Empire.""},{""text1"":"" ""}]"
"Tradehouse Notice","https://www.imperial-library.info/content/tradehouse-notice","Author: 
                    Hlaalu Councilors","[]","[{""text1"":""Port of Seyda Neen""},{""text1"":""Hereas at the general Sessions of the Peace held for the District of  House Hlaalu at the Town of Balmora on the 16th day of First Seed in the  year of the Reign of our Sovereign King Hlaalu Athyn Llethan, by the  Grace of All Gods, King of Morrowind, Duke of Mournhold and Hlaalu  Province; Defender of the People and the Law; Loyal Servant of the  Empire; etc.""},{""text1"":""Arrille of the Port of Seyda Neen aforesaid, hath entered into  Recognizance with Sureties, before us his Majesty's Magistrates of  Peace, within the said District, whose Names are hereunder written:""},{""text1"":""We therefore his Majesty's said Magistrates, have hereby Licensed, and  allowed the said Arrille to keep a Common Tradehouse, or Cornerclub, in  the House wherein he now dwelleth, in the Port of Seyda Neen aforesaid,  for three full years, from henceforth next ensuing, or till such other  time as shall be by us, or some of our fellow Magistrates thereunto  appointed; Provided that if the said Arrille do not from time to time  during that time, well and truly observe the Articles hereafter  mentioned, then this License shall presently cease, and be utterly void.""},{""text1"":""1st Item, That the said Arrille shall not suffer any Stranger, or  unknown Traveler, to Lodge, or Stay, in or about his House, above one  Day and one Night, without making the same known forthwith to the next  Bailiff, or other Officer of this Town, to the end that the said  Stranger, or unknown Traveler may be examined, by some Magistrate of  Peace near adjoining.""},{""text1"":""2nd Item, That he shall not suffer any playing at Cards, Tables, Dice,  Bowls, Nine-holes, or any other unlawful Game, or any Disorder, or  Outrage in his House, Orchard, Garden, or Back-side, but shall keep good  Order and Rule in his House.""},{""text1"":""3rd Item, That he shall not suffer any neighbor's Children, Servants, or  Slaves to Tipple in his House at all, nor any other to Tipple in his  house, otherwise than by the Statutes are allowed.""},{""text1"":""4th Item, That he doe not suffer any to Tipple in hours of Prayer, or  Lesson, on any Emperor's or Festival days, nor at any time after the  eighth hour of Night.""},{""text1"":""5th Item, That he shall not harbor any Rogues, Vagabonds, Tradeless men,  nor other suspicious Persons, in or about his House.""},{""text1"":""6th Item, That he shall not Buy or take to Pawn, or suffer to be Bought  or taken to Pawn in his House (to his knowledge) any goods of any  unknown Traveler, or of any Neighbor's children, or Servants, or Slaves,  or of any man's Wife, without the consent of their Parents, Masters, or  Husbands respectively, and if any such Goods be offered to Sale, or  Pawn, by any Stranger, he shall make the same known forthwith to the  next Bailiff, or other Officer of the Town.""},{""text1"":""7th Item, That he doe not sell his best Drink above Four Drakes the  Gallon, nor the second sort above Two Drakes the Gallon, nor suffer any  Ash-Fowl to be Dressed or Eaten in his House, or on any other Victuals  prohibited by the Laws of this Realm.""},{""text1"":""8th Item, That he shall not suffer any Bawdry, or Criminal Conversation,  in or about his house, nor shall procure or cause to be Enticed any man  to drink in his house, until he shall be Drunk, or distempered with  Drink.""},{""text1"":""9th Item, That he shall not suffer any Luting, Drumming, or Dancing, in  or about his house, on any Lesson Day, nor in time of Divine Service, on  any Sacred Festival, or Holy-day.""},{""text1"":""10th Item, That he shall cause this License to be openly fixed up in the  Hall-Room of his dwelling House, to the end that every one may see what  Articles he is bound to observe.""},{""text1"":""Dated the day and year first above written.""},{""text1"":""Undersigned,""},{""text1"":""Master Velanda Omani\nMaster Nevena Ules\nMaster Dram Bero\nMaster Crassius Curio\nMaster Yngling Half-Troll""}]"
"Shishi Report","https://www.imperial-library.info/content/shishi-report","Author: 
                    Brerama Selas","[]","[{""text1"":""A report from Redoran troops while attacking Shishi, a  Telvanni base.""},{""text1"":"" ""},{""text1"":""As instructed, a party of five entered the Velothi tower of Shishi. Five  Telvanni sorcerers fell and the tower is now ours, but we have suffered  heavy losses. We will hold Shishi as long as we can and await your  orders.""},{""text1"":""Brerama Selas""}]"
"Last Scabbard of Akrash","https://www.imperial-library.info/content/last-scabbard-akrash","Author: 
                    Tabar Vunqidh","[]","[{""text1"":""\nFor several warm summer days in the year 3E 407, a young, pretty Dunmer woman in a veil regularly visited one of the master armorers in the city of Tear. The locals decided that she was young and pretty by her figure and her poise, though no one ever saw her face.  She and the armorer would retire to the back of his shop, and he would close down his business and dismiss his apprentices for a few hours.  Then, at mid-afternoon, she would leave, only to return at precisely the same time the next day. As gossip goes, it was fairly meager stuff, though what the old man was doing with such a well dressed and attractively proportioned woman was the source of several crude jokes.  After several weeks, the visits stopped, and life returned to normal in the slums of Tear.""},{""text1"":""It was not until a month or two after the visits had stopped, that in one of the many taverns in the neighborhood, a young local tailor, having imbibed too much sauce, asked the armorer, \""So whatever happened to your lady friend?  You break her heart?\""""},{""text1"":""The armorer, well aware of the rumors, simply replied, \""She is a proper young lady of quality.  There was nothing between her and the likes of me.\""""},{""text1"":""\""What was she doing at your shop every day for?\"" asked the tavern wench, who had been dying to get the subject open.""},{""text1"":""\""If you must know,\"" said the armorer. \""I was teaching her the craft.\""""},{""text1"":""\""You're putting us on,\"" laughed the tailor.""},{""text1"":""\""No, the young lady had a particular fascination with my particular kind of artistry,\"" the armorer said, with a hint of pride before getting lost in the reverie. \""I taught her how to mend swords specifically, from all kinds of nicks and breaks, hairline fissures, cracked pommels, quillons, and grips.  When she first started, she had no idea how to secure the grips to the tang of the blade... Well, of course she was green to start off with, why wouldn't she be?  But she weren't afraid to get her hands dirty.  I taught her how to patch the little inlaid silver and gold filigree you find on really fine blades, and how to polish it all to a mirror sheen so the sword looks like the gods just pulled it from their celestial anvil.\""""},{""text1"":""The tavern wench and the tailor laughed out loud.  No matter what he alleged, the armorer was speaking of the young lady's training as another man speaks of a long lost love.""},{""text1"":""More of the locals in the tavern would have listened to the armorer's pathetic tale, but more important gossip had taken precedence.  There was another murdered slave-trader found in the center of town, gutted from fore to aft.  That made six of them total in barely a fortnight.  Some called the killer \""The Liberator,\"" but that sort of anti-slavery zeal was rare among the common folk.  They preferred calling him \""The Lopper,\"" as several of the earlier victims had been completely beheaded.  Others had been simply perforated, sliced, or gutted, but \""The Lopper\"" still kept his original sobriquet.""},{""text1"":""While the enthusiastic hooligans made bets about the condition of the next slave-trader's corpse, several dozen of the surviving members of that trade were meeting at the manor house of Serjo Dres Minegaur.  Minegaur was a minor houseman of House Dres, but a major member of the slave-trading fraternity.  Perhaps his best years were behind him, but his associates still counted on him for wisdom.""},{""text1"":""\""We need to take what we know of this Lopper and search accordingly,\"" said Minegaur, seated in front of his opulent hearth. \""We know he has an unreasonable hatred of slavery and slave-traders.  We know he is skilled with a blade. We know he has the stealth and finesse to execute our most well-secured brethren in their most secure abodes.  It sounds to me to be an adventurer, an Outlander.  Surely no citizen of Morrowind would strike at us like this.\""""},{""text1"":""The slave-traders nodded in agreement.  An Outlander seemed most likely for their troubles.  It was always true.""},{""text1"":""\""Were I fifty years younger, I would take down my blade Akrash from the hearth,\"" Minegaur made an expansive gesture to the shimmering weapon. \""And join you in seeking out this terror.  Search him out where adventurers meet -- taverns and guildhalls.  Then show him a little lopping of my own.\""""},{""text1"":""The slave-traders laughed politely.""},{""text1"":""\""You wouldn't let us borrow your blade for the execution, I suppose, would you, Serjo?\"" asked Soron Jeles, a young toadying slaver enthusiastically.""},{""text1"":""\""It would be an excellent use for Akrash,\"" sighed Minegaur. \""But I vowed to retire her when I retired.\""""},{""text1"":""Minegaur called for his daughter Peliah to bring the slavers more flin, but they waved the girl away.  It was to be a night for hunting the Lopper, not drinking away their troubles.  Minegaur heartily approved of their devotion, particular as expensive as the liquor was getting to be.""},{""text1"":""When the last of the slavers had left, the old man kissed his daughter on the head, took one last admiring look at Akrash, and toddled off to his bed.  No sooner had he done so then Peliah had the blade off the mantle, and was flying with it across the field behind the manor house.  She knew Kazagh had been waiting for her for hours in the stables.""},{""text1"":""He sprung out at her from the shadows, and wrapping his strong, furry arms around her, kissed her long and sweet.  Holding him as long as she dared to, she finally broke away and handed him the blade.  He tested its edge.""},{""text1"":""\""The finest Khajiiti swordsmith couldn't hone an edge this keen,\"" he said, looking at his beloved with pride. \""And I know I nicked it up good last night.\""""},{""text1"":""\""That you did,\"" said Peliah. \""You must have cut through an iron cuirass.\""""},{""text1"":""\""The slavers are taking precautions now,\"" he replied. \""What did they say during their meeting?\""""},{""text1"":""\""They think it's an Outlander adventurer,\"" she laughed. \""It didn't occur to any of them that a Khajiiti slave would possess the skill to commit all these 'loppings.'\""""},{""text1"":""\""And your father doesn't suspect that it's his dear Akrash that is striking into the heart of oppression?\""""},{""text1"":""\""Why would he, when every day he finds it fresh as the day before?  Now I must go before anyone notices I'm gone.  My nurse sometimes comes in to ask me some detail about the wedding, as if I had any choice in the matter at all.\""""},{""text1"":""\""I promise you,\"" said Kazagh very seriously. \""You will not be forced into any marriage to cement your family's slave-dealing dynasty.  The last scabbard Akrash will be sheathed into will be your father's heart.  And when you are an orphan, you can free the slaves, move to a more enlightened province, and marry who you like.\""""},{""text1"":""\""I wonder who that will be,\"" Peliah teased, and raced out of the stables.""},{""text1"":""Just before dawn, Peliah awoke and crept out to the garden, where she found Akrash hidden in the bittergreen vines.  The edge was still relatively keen, but there were scratches vertically across the blade's surface.  Another beheading, she thought, as she took pumice stone and patiently rubbed out the marks, finally polishing it with a solution of salt and vinegar.  It was up on the mantle in pristine condition when her father came into the sitting room for his breakfast.""},{""text1"":""When the news came that Kemillith Torom, Peliah's husband-to-be, had been found outside of a canton, his head on a spike some feet away, she did not have to pretend to grieve.  Her father knew she did not want to marry him.""},{""text1"":""\""It is a shame,\"" he said. \""The lad was a good slaver.  But there are plenty of other young men who would appreciate an alliance with our family.  What about young Soron Jeles?\""""},{""text1"":""Two days nights later, Soron Jeles was visited by the Lopper.  The struggle did not take long, but Soron had had armed himself with one small defense -- a needle dipped in the ichor of poisonplant, hidden up his sleeve.  After the mortal blow, he collapsed forward and stuck Kazagh in the calf with the pin.  By the time he made it back to the Minegaur manorhouse, he was dying.""},{""text1"":""Vision blurring, he climbed up to the eaves of the house to Peliah's window and rapped.  Peliah did not answer immediately, as she was in a deep, wonderful sleep, dreaming about her future with her Khajiiti lover.  He rapped louder, which woke up not only Peliah, but also her father in the next room.""},{""text1"":""\""Kazagh!\"" she cried, opening up the window.  The next person in the bedroom was Minegaur himself.""},{""text1"":""As he saw it, this slave, his property, was about to lop off the head of his daughter, his property, with his sword, his property.  Suddenly, with the energy of a young man, Minegaur rushed at the dying Khajiit, knocking the sword out of his hand.  Before Peliah could stop him, her father had thrust the blade into her lover's heart.""},{""text1"":""The excitement over, the old man dropped the sword and turned to the door to call the Guard.  As an after thought, it occurred to him to make certain that his daughter hadn't been injured and might require a Healer.  Minegaur turned to her.  For a moment, he felt simply disoriented, feeling the force of the blow, but not the blade itself.  Then he saw the blood and then felt the pain.  Before he fully realized that his daughter had stabbed him with Akrash, he was dead.  The blade, at last, found its scabbard.""},{""text1"":""A week later, after the official investigations, the slave was buried in an unmarked grave in the manor field, and Serjo Dres Minegaur found his resting place in a modest corner of the family's opulent mausoleum.  A larger crowd of curious onlookers came to view the funeral of the noble slaver whose secret life was as the savage Lopper of his competitors.  The audience was respectfully quiet, though there was not a person there not imagining the final moments of the man's life.  Attacking his own daughter in his madness, luckily defended by the loyal, hapless slave, before turning the blade on himself.""},{""text1"":""Among the viewers was an old armorer who saw for one last time the veiled young lady before she disappeared forever from Tear.""},{""text1"":"" ""}]"
"Treasury Orders","https://www.imperial-library.info/content/treasury-orders","Author: 
                    Odral Helvi","[]","[{""text1"":""Dearest Tenisi,""},{""text1"":""Your assistance has been profitable to us both, in many ways. I have but one more favor to ask. Find the land deeds for the Ascadian Isles. Replace the documents owned by Rovone Arvel with those of your own clever design.""},{""text1"":""Soon we will have enough to leave Vvardenfell together. Until then, you know what must me done, know also that you have my love.""},{""text1"":""Odral Helvi""}]"
"Private Papers of Galur Rithari, Buoyant Armiger","https://www.imperial-library.info/content/private-papers-galur-rithari-buoyant-armiger","Author: 
                    Galur Rithari","[]","[{""text1"":""[hand-written manuscripts bound as folios; excerpts]""},{""text1"":""\""Outnumbered and isolated, I yielded to my foe. The creature dressed  like a gentleman, and I hoped for honorable treatment. Instead, I found  myself a feast for a blood-drinking monster.""},{""text1"":""\""Shamed by my corruption, and despairing of my own welfare, I passively  acquiesced in my gradual integration into the affairs of Clan Aundae. I  made no human my prey, only beasts, and kept myself apart from the other  clankin; nonetheless, I abandoned hope and lived like a beast.""},{""text1"":""\""Drawn by intimations of my former life, I visited my former post at Bal  Ur, hoping perhaps to atone in some for my crimes by preying upon its  monsters, or perishing under their attacks. It is there that, by chance,  I made petition to the Lord of Troubles, Molag Bal, at an altar deep in  the caverns beneath the pilgrim's shrine. I was surprised, and  thrilled, and terrified, when Molag Bal, or some aspect or agent of that  Daedra Lord, offered me a chance to cure myself of vampirism, in return  for a favor. However, with no hope for my soul or spirit unless I might  be cured, I undertook his quest.""},{""text1"":""[Rithari sought and obtained a cursed soul gem of mysterious nature from  a deep cavern on the northern slopes of Dagoth Ur, delivering it to  Molag Bal's shrine in Bal Ur.]""},{""text1"":""\""I placed the gem within the basin before the altar, and instantly  experienced a blinding of pain and terror that I cannot express in  words, except that it seemed afterward that I had been asleep and  dreaming that I was being sliced by thousands of tiny knives from my  bowels inside out. I awoke before the altar, and gazed in the reflection  of my own sword blade at my own face - no longer a blood-seeking beast  of teeth and empty eyes.\""""}]"
"Diary of a Lost Sailor","https://www.imperial-library.info/content/diary-lost-sailor","Author: 
                    Anonymous","[]","[{""text1"":""Day One:""},{""text1"":""My crew and I were caught in a fierce storm just outside Ebonheart. We managed to make it to safety, but are now completely lost. Without a cargo or a ship there isn't much we can do. I will try to find passage for us somewhere. We are unarmed and ill-equipped to defend ourselves. Hopefully someone will take pity on us. The crew is waiting on the shore for my return.""},{""text1"":""Day Three:""},{""text1"":""I am confident I will find a village inland that will have access to a ship. I think I see smoke off in the distance. Maybe tomorrow will bring a change of luck.""},{""text1"":""Day Seven:""},{""text1"":""Those cursed villagers! May their fields dry up and their children suffer! They have steered me completely in the wrong direction. I firmly believe I am going further and further inland. If I don't see a fishing village soon I will be forced to turn back. I have been subsiding on roots and grasses and grow weaker every day. I must find a way for my crew and I to get home.""},{""text1"":""Boiled my shoes to make broth. I had heard it would work. It didn't. Now I have no shoes.""},{""text1"":""Day Twelve:""},{""text1"":""This is pointless. I have been directed to a fishing village to the east but so far have seen or heard nothing.""},{""text1"":""Killed a rat today. It was the most food I have eaten in days. Tasted worse than scrib jelly but better than shoes.""},{""text1"":""Day Thirteen:""},{""text1"":""From my vantage point in a tall tree I finally see a town! While I do not see any sign of water it does look to be a fairly sizable town, and may have a trade route to the sea. I should reach it tomorrow.""},{""text1"":""Day Twenty:""},{""text1"":""Lost. All is lost. I have, once again, been misled. After entering the town, I came across a man who offered to help. Weak from hunger and exhaustion I believed him, and followed him underground to his home. They have a massive underground system of tunnels and old sewers here. It's really quite amazing. Unfortunately I seem to have made a rude comment about his sister being smoldering and he beat me senseless. When I awoke I was in this pit with no way out in sight. I can see up to the floor above, but no one responds to my cries for help. I fear I will end my days here. Oh, why did I ever leave my crew! They must be giving up hope now, as am I.""},{""text1"":""Day Twenty-five:""},{""text1"":""Woke up to hear noises of construction from the floor above. Ran to the opening and cried out. It was to no avail, however. Instead they tossed down the most horrible creature. It is rank and ugly and eyes me in the most vicious way. I have retreated to this corner and await my doom. It will get hungry soon, and I fear it sees me as its only source of food. I am too weak to defend myself. This will be my last entry. If someone finds my bones, bury me facing the sea, wherever that may be.""}]"
"Galerion the Mystic","https://www.imperial-library.info/content/galerion-mystic","Author: 
                    Anonymous","[]","[{""text1"":""This versions differs slightly from the Daggerfall version. Sumurset is now spelled Summurset and the spelling of Artaeum has been corrected.""},{""text1"":""Galerion The Mystic""},{""text1"":""\n\tby\n\tAsgrim Kolsgreg""},{""text1"":"" ""},{""text1"":""During the early bloody years of the Second Era, Vanus Galerion was born under the name Trechtus, a serf on the estate of a minor nobleman, Lord Gyrnasse of Sollicich-on-Ker. Trechtus' father and mother were common laborers, but his father had secretly, against the law of Lord Gyrnasse, taught himself and then Trechtus to read. Lord Gyrnasse had been advised that literate serfs were an abomination of nature and dangerous to themselves and their lords, and had closed all bookstalls within Sollicich-on-Ker. All booksellers, poets, and teachers were forbidden, except within Gyrnasse's keep. Nevertheless, a small scale smuggling operation kept a number of books and scrolls in circulation right under Gyrnasse's shadow.""},{""text1"":""When Trechtus was eight, the smugglers were found and imprisoned. Some said that Trechtus's mother, an ignorant and religious woman fearful of her husband, was the betrayer of the smugglers, but there were other rumors as well. The trial of the smugglers was nonexistant, and the punishment swift. The body of Trechtus' father was kept hanging for weeks during the hottest summer Sollicich-on-Ker had seen in centuries.""},{""text1"":""Three months later, Trechtus ran away from Lord Gyrnasse's estate. He made it as far as Alinor, half-way across Summerset Isle. A band of troubadours found him nearly dead, curled up in a ditch by the side of the road. They nursed him to health and employed him as an errand boy in return for food and shelter. One of the troubadours, a soothsayer named Heliand, began testing Trechtus' mind and found the boy, though shy, to be preternaturally intelligent and sophisticated given his circumstances. Heliand recognized in the boy a commonality, for Heliand had been trained on the Isle of Artaeum as a mystic.""},{""text1"":""When the troupe was performing in the village of Potansa on the far eastern end of Summurset, Heliand took Trechtus, then a boy of eleven, to the Isle of Artaeum. The Magister of the Isle, Iachesis, recognized potential in Trechtus and took him on as pupil, giving him the name of Vanus Galarion. Vanus trained his mind on the Isle of Artaeum, as well as his body.""},{""text1"":""Thus was the first Archmagister of the Mages Guild trained. From the Psijics of the Isle of Artaeum, he received his training. From his childhood of want and injustice, he received his philosophy of sharing knowledge.""},{""text1"":"" ""}]"
