web-scraper-order,web-scraper-start-url,Name,Description
"1544977602-137","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 18, Chapter 2","Chancellor J'mpok reluctantly agreed to a third round of peace talks between the Klingon Empire and the Gorn Hegemony. His decision put him in opposition to a large bloc on the High Council. These opponents favored war against the Gorn, and there were rumblings in the halls of Qo'noS that J'mpok was catering to the Federation just as Martok did.

For his part, J'mpok said that it is only wise to explore all options. And on Stardate 74461.35, he silenced many of his critics in a most dramatic fashion.

The I.K.S. Kang, missing since the previous year, reappeared long enough for Ja'rod to announce that the House of Duras was allying with the House of J'mpok.

The alliance with Duras gave J'mpok's house the support of many of the oldest and most influential of the Great Houses, and J'mpok quickly reminded many on the High Council that debts owned to Duras were now owed to him as well. The move also fully returned the House of Duras to legitimacy, as J'mpok used his powers as chancellor to wipe away past rulings against the house.

The shakeup in the Klingon political scene now meant that most of the Great Houses were beholden to either the House of Duras or the House of Martok, and observers said that the polarization of the Empire would only continue.

Following the announcements, the I.K.S. Kang cloaked and disappeared again. However, data from Klingon sensor stations placed the Kang near the M'Char system, which is near the border between the Klingon Empire and the Gorn Hegemony."
"1544977602-191","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 28, Chapter 3","In Romulan space, Starfleet Intelligence observers reported that Sela revived one of Praetor Taris' ideas - a Romulan monarch.

""Sela hasn't said a word about it herself, of course, but allies of hers in the Senate are floating the idea,"" one agent said. ""And it's not a coincident that people have started making comparisons between Sela and beloved Romulan rulers like Ael i-Mhiessan t'Rllaillieu.

""There's even a quiet search going on for the Sword of S'task, even though everyone believes it was destroyed when the homeworld was lost."""
"1544977602-233","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 6, Chapter 6","The leaders announced that they would hold an open debate on the fate of Vastam. Everyone would have the chance to speak.

I admire the attempt at democracy, as misguided as it was. But too many people already had their minds made up. People started shouting, and then a man pushed the captain of the Surani. Her guards knocked the man to the ground and there were shots fired. After that, it was chaos.

I wanted to get away, take our parents someplace safe, but Thel is so impulsive. He saw two men beating old Veka, who has been outspoken about her desire to stay on Vastam. Thel plunged into the crowd toward them. That was the last I saw of him until now.

He's been badly injured. Thank the Elements that someone brought him to a healer. He's still unconscious, but the healer thinks he will survive. Others weren't so fortunate. There are more than a hundred dead, and the fighting hasn't stopped."
"1544977602-91","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 10, Chapter 6","In the courts, the case of the photonic lifeform known as The Doctor made a small advancement after years of being stalled in hearings and appeals.

On Stardate 66954.79, a Federation judge ruled that the lawsuit could be expanded into a class-action suit encompassing all sentient artificial lifeforms in the Federation. ""This is about more than one being and a mobile emitter,"" said Alyssa Cogley-Shaw, a lawyer for the Soong Foundation. ""This is about basic rights.""

Cogley-Shaw said that while the expansion of the lawsuit may mean that it would remain tangled in the courts for years to come, its ultimate resolution may mean an end to the forced servitute of more than six hundred EMH Mark I holograms. And, as Starfleet re-equips more of its starships with holoprojectors to expand the usefulness of photonic ""tools"" such as the Emergency Command and Emergency Medical Holograms, someday those lifeforms could be considered Starfleet officers with all of the rights and privileges of their rank."
"1544977602-236","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Last Days of the Dewans: Part One","In the distant past, the gods walked among us.

They appeared in light and performed great miracles. They ordered us to serve, and any who did not obey were destroyed by weapons that spat fire.

For eons were their slaves. Eventaully we learned more about their technology and miraculous device they used to travel from world to world. But we were not the only slaves of the gods, and on a hundred worlds people bound together. They fought the gods. Millions of rebels died, but they kept fighting.

Our planet was one of those targeted by the rebels. Great ships attacked from orbit, creating chasms that swallowed entire settlements. Giant clouds of ash blackened the sky.

The gods used their device to disappear. They left my people to die."
"1544977602-172","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 24, Chapter 5","One blow for the Klingons this year was the departure of Emperor Kahless. Late in the year, Kahless handpicked a crew from the Order of the Bat'leth and departed on the I.K.S. Batlh. Kahless left a message behind saying that the Klingons no longer need his guidance, so he was departing to look for new battles to fight. Kahless promised to return when he was most needed.

For his part in revealing the Undine threat in the Gorn Hegemony, Captain Ja'rod was offered a seat on the High Council. Ja'rod declines and returned to the command of the I.K.S. Kang.

""Until I have fully proven my worth to the Empire,"" Ja'rod told the Council, ""I do not deserve to be in your number. I will return to Qo'noS as a hero, or not at all."""
"1544977602-244","https://sto.gamepedia.com/Accolade/Lore#Volume_1","Dyson Sphere Researcher","You uncovered several pieces of data about what was happened potentially thousands of years ago inside of the Dyson Sphere Battlezone."
"1544977602-177","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 25, Chapter 3","On Stardate 81753.16, Chancellor J'mpok informed the Federation ambassador that he was invoking ancient claims to the Hromi Cluster and the sectors surrounding it, an area that had been ceded to the Federation for decades.

J'mpok said that he would allow the Federation three months to remove all Federation citizens and assets from the region. There would be no negotiation.

According to Federation News Service polls, more than seventy percent of Federation citizens opposed acceding to the Klingons' demands. ""Well of course we're not leaving,"" said Cassidy Munzer, a musician living on Earth. ""We have to stop the Klingons somewhere, don't we?""

Federation President Aennik Okeg called for calm. ""Let's not fight the war before the first shot is fired,"" Okeg said. ""We will explore every option open to us, and peace is of utmost importance."""
"1544977602-143","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 19, Chapter 4","In Starfleet, Lieutenant Naomi Wildman was assigned to be the new helm officer of the U.S.S. Hathaway.  And Miral Paris, another child who was born on the U.S.S. Voyager, entered Starfleet Academy.


Paris' presence in the incoming academy class was notable to those who follow Klingon affairs.  Several news stories about Paris and the new recruits reported the legend of the kuvah'magh, a Klingon religious figure believed to be a prophetic figure by some.

 After reporters made an attempt to enter the dormitories at the Academy, Starfleet issued as statement from Paris asking for privacy.  ""I'm a student, not a savior,"" the statement read in part, ""Allow me and my classmates peace and privacy."""
"1544977602-140","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 19, Chapter 1","After six years of reports, panels and legislative wrangling, the Federation council approved rules for dual citizenship. This option was created to allow beings to apply for permanent residency and other rights without sundering all of their ties to their homeworlds.

Dual citizens could live and work anywhere in the Federation, apply for Federation grants, and even vote in Federation elections. However, dual citizens owed allegiance to and were subject to the laws of both political entities of which they are citizens. Also, the homeworld of an applicant must allow dual citizenship as well.

The Soong Foundation and other artificial life groups argued that the bill should be extended to artificial lifeforms, but the Federation Council refused. Artificial lifeforms must either pass the tests established by the Supreme Court of the Federation to be granted full citizenship, or they were property. There was no middle ground."
"1544977602-135","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 17, Chapter 6","Alexander Rozhenko returned to Earth with his son D'Vak. Rozhenko took a post teaching political science at the the Saint Petersburg State University and told friends that he was considering writing a book about his experiences on Boreth. He had no plans to return to the Klingon Empire.

And on Stardate 73963.51, Captain T'Vix of the U.S.S. Cochrane was removed from duty along with her first officer and chief of security. The Cochrane was assigned to monitor the Neutral Zone, but was recalled to Earth Spacedock days later for personnel reassignment, and the remaining crew was dispersed among more than a dozen other posts.

Starfleet gave no reason for the change in orders, and all records of what happened on the final days of the Cochrane's missions were sealed by Starfleet Intelligence.

It is believed that the Cochrane will return to duty after a refit with a new crew, but one anonymous report stated that the ship was sent to a Starfleet Intelligence starbase for analysis."
"1544977602-125","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 16, Chapter 1","Tragedy struck for Starfleet on Stardate 72487.91, when the U.S.S. Kelso was lost with all hands.

The Kelso was supposed to be on a routine mission to study the long-term effects of the Hobus supernova on star systems in the Devron Sector when it was destroyed. Initial reports indicated that the Kelso could have come under attack. However, when the remains of the vessel were recovered by the U.S.S. April, it was found that a coolant leak caused by an experimental cloaking device onboard the Kelso caused plasma to vent from the ship. The plasma reacted with ionizing radiation present in the area, causing the explosion which destroyed the Kelso.

 After careful consideration, Captain Barax Wenn of the April revealed the cause of the Kelso's destruction to the captains of the Romulan ships assisting in the search for the vessel. In response, Praetor Taris lodged an immediate complaint with the Federation Council, and, as a ""gesture of good faith,"" informed the Klingon Empire of the details of the Kelso's destruction as well.

Starfleet Security admitted that the U.S.S. Kelso was testing a Federation cloaking device. The Romulans then ejected all Federation diplomats and ships from their space in protest, and Chancellor J'mpok recalled the Klingon ambassador to the Federation back to Qo'noS for ""strategic discussions."""
"1544977602-89","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 10, Chapter 4","The Cardassians took a major step towards self-sufficiency when they voted to replace the Reconstruction Committee with democratically-elected leaders. In the weeks leading up to the election, two groups dominated the debate: a civilian coalition with Elim Garak as a prominent member, and a hardliner group calling for the Cardassians to withdraw from the Federation-Cardassian Treaty of 2386 and re-establish the military.

Garak's coalition won a narrow victory, and in its first act reformed the Detapa Council. The council faced its first controversy when it voted to send six ships to assist the Federation's recovery efforts in Romulan space; even though polls showed that most Cardassians felt that they should reserve their resources. The Federation Council's decision to cut funding for Cardassian reconstruction by 30 percent made aid to the Romulans even less popular, and support for the council plummeted.

Speaking to reporters from the shattered remains of the University of Culat, Elim Garak defended the council's actions. ""We've seen what suspicion and backroom deals have brought us,"" Garak said. ""We know what happens when we turn our backs on the rest of the galaxy and just worry about what happens on our own street, in our own city, on our own planet. Maybe it's time to try something different.""

One of the first industries to be restarted in Cardassian space was mining. A former member of the military, Gul Madred, aquired the rights to several-mineral rich [sic] planetoids and began building a large mining operation in the Septimus system."
"1544977602-232","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 6, Chapter 5","We've been on this planet, which the leaders have named Vastam, for six months. We've conquered many of the problems we first encountered here - scorpions, storms, finding potable water. We have safe zones where we don't have to worry about the radiation. Teams are delving deeper into the caversn and trying to tame the beasts near the river for domestic use.

There are some who think that's good enough. We can continue to make improvements here, be we can't guarantee that there is a habitable planet that fits our requirements somewhere else. I think many of these people just can't face getting back on the ships and a return to the cold of space. <br.[sic] I agree with the Science Council. There is too much we would need to change about this world to live here. In adapting it to our needs we could do irreparable damage to the ecosystem. <br>[sic]
It is time to try again. We will be sending out scout vessels, but I fear unless a more suitable candidate for colonization is found soon, it will be difficult to persuade people to continue the search."
"1544977602-144","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 19, Chapter 5","On Stardate 75705.90, the Federation-mediated peace talks between the Gorn Hegemony and the Klingon Empire are disrupted by an explosion that rocked the resort on Casperia Prime where the talks were being held.

Seven people were critically injured by the blast, including Ambassador K'mtok of Qo'noS and Mira Genstra, a deputy mediator for the Federation. Genstra was stabilized and then evacuated to her home on Betazed, but K'mtok died during surgery onboard the I.K.S. Gorkon.

The crew of the Gorkon cooperated with Captain Data of the U.S.S. Enterprise-E to investigate the explosion. They found that an ultritium resin explosive device was hidden in the room where the delegates were meeting.

Although it was initially thought that the device was planted by a member of the resort staff, ties to Klingon extremist groups were quickly uncovered. The device was tracked back to Toral, son of Duras, who was a fugitive from both the Federation and the Klingon Empire. The Gorkon pursued Toral's ship into the Archanis Sector, but it escaped.

The Federation attempted to restart the peace talks, but both the Klingon and the Gorn recalled their delegations. There will be no cease-fire.

""If I were into conspiracies, I'd mention that K'mtok was appointed by Chancellor Martok, and now the door's open for J'mpok to appoint one of his allies as ambassador to the Federation. But I'm not going to do that, because I'm not a conspiracy theorist,"" said Tag Morkek, a political analyst for the Tellar News Service."
"1544977602-173","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 24, Chapter 6","In Romulan space, the conflict between Praetor Taris and General Velal continued to divide the already fractured empire. Kevatras and Abraxas Prime threw their support behind the rebellion, giving Velal and Sela's forces much needed safe havens and supply bases.

The war came to an abrupt end on Stardate 80957.96, when forces of the Romulan Second Fleet approached Rator III.

""The praetor had been locked in her rooms for a few days at this point, and she wouldn't allow anyone to enter,"" a Starfleet Intelligence observer reported. ""Her staff finally broke down the door when Velal's fleet entered orbit. I think they were trying to get Taris to safety - but she was already gone.""

An extensive search of the palace turned up no clues. The Tal Shiar extended the search to all of Nova Roma, but Praetor Taris has disappeared."
"1544977602-219","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 4, Chapter 7","Mother made us stay inside our quarters today. Yesterday too. She says it's because there is an outbreak of Arethian flu on the lower decks, but that's not the real reason.

I heard the men fighting in the food ration lines. I saw the blood, green and slick on the deck. Mother told us not to look, but later I heard her and Father talkin in low voices.She sounded worried.

We're cooped up here day after day, and it's been so long since we found a Minshara class world. People are starting to lose[sic] hope."
"1544977602-7","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 6","Complete the Path to 2409: Volume 6."
"1544977602-170","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 24, Chapter 3","General Klag was given a week to stabilize the situation on the Gorn homeworld before Chancellor J'mpok arrived with the I.K.S. Vo'quv. After transporting down and meeting with King Slathis, J'mpok ordered a global broadcast and used the Klingon fleet to extend the range of the transmission to hit most Gorn colony worlds and ships.

During the broadcast, the Klingons revealed the Gorn prime minister, head of military intelligence and multiple other high-ranking members of the Gorn government and military to be Undine infiltrators. The infiltrators were then immediately executed.

""We have shown the true face of the qa'meH quv,"" J'mpok said. ""We are defending the Alpha Quadrant, not destroying it."""
"1544977602-234","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 6, Chapter 7","We are leaving Vastam. As soon as the ships are resupplied we will depart forever.

Two hundred and forty seven people died in the fighting. The Sword of the Raptor Star, one of the great weapons created by S'harien before the Sundering, is gone. It was last seen in the hands of the captain of the Surani. Her body was found, but the blade is missing.

After the battles burned themselves out and the funerals were done, the leaders announced that anyone who wanted to stay on Vastam could do so, but the fleet would move on. As far as I know, no one is staying.

I have no doubt that there is still bad blood between people who survived the fighting. But no one wants a return to the wars we fought on Vulcan. No one wants to admit that is who we are.

Now people smile at one another while concealing knives."
"1544977602-175","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 25, Chapter 1","Starfleet celebrated the opening of more links in the Federation transwarp network.

""In these troubled times, this technology is more important than ever,"" said Admiral Chakotay at the opening of a transwarp hub in the Alpha Centauri system. ""Speed is essential if we need to repel an attack by the Klingons or the Romulans, or evacuate an entire planet if there is an environmental disaster.

""Just as warp drive once made the stars reachable, transwarp will make exploration of the entire galaxy possible.""

Much of the Federation's time in 2404 was spent adjusting to the new balance of power in the galaxy. With the Klingon Empire expanding its influence and stability returning to the Romulans, the possibility of either side turning their attention to the Federation increased.

""If it's not the Klingons, it will be the Romulans. If it's not the Romulans, it will be the True Way! Mark My words - the Federation will come under attack, and it will happen soon,"" said activist Crom Neret."
"1544977602-55","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 5, Chapter 5","Representatives of the Federation Council were pleased to accept Bajor's renewed application for Federation membership, and pledged to fast-track the planet's admission. The increased traffic and commerce expected to arrive with Federation membership prompted the Ferengi to open an expansive embassy and gift shop near Quark's on Deep Space Nine.

Odo, acting as the Great Link's ambassador to the solids, met with his fellow changeling Laas on Koralis III. Odo invited Laas to return with him to the Gamma Quadrant.

Laas refused, choosing instead to continue to search for other changelings in the Alpha and Beta Quadrants."
"1544977602-200","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The History of New Romulus: Volume 3","Complete the History of New Romulus: Volume 3."
"1544977602-29","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 28","Complete the Path to 2409: Volume 28."
"1544977602-63","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 6, Chapter 7","Donatra, who most agreed was the broker of the newfound peace on Romulus, traveled to Remus to meet General Xiomek of the Remans. She offered the Remans full citizenship in the empire and representation in the Romulan Senate in exchange for their support.

While Sela opposed the plan, which she saw as rewarding the Remans for a violent uprising, she and Praetor Chulan did not have the strength to oppose Donatra's power.

The physical strength of the Remans, as well as their supplies of dilithium and heavy metals, added to Donatra's formidable military strength, and she had the resources to reopen shipyards and munitions plants closed since Shinzon's revolt. As resources flowed back to Romulus from Remus and the worlds Donatra controlled, energy rationing and food lines became a thing of the past.

The Romulan Senate was reluctant to deal with the Remans but was swayed by popular support for Donatra, and the senators reluctantly vote to allow Xiomek to take a seat in the Sentate and to extend citizenship to the Remans. In common practice, however, most Romulans continued to treat Remans as second-class citizens, and the Remans were reluctant to relocate to Romulan settlements."
"1544977602-246","https://sto.gamepedia.com/Accolade/Lore#Volume_1","Awaiting the Return",""
"1544977602-249","https://sto.gamepedia.com/Accolade/Lore#Volume_1","Searched for the Truth","The area classified as a ""park"" by the allied forces has many things that make it seem more than a simple park. 
 You investigated some consoles and discovered the previous inhabitants were using the area to conduct experiments on various creatures."
"1544977602-97","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 11, Chapter 6","On Earth, the Federation Supreme Court agreed to hear oral arguments from a group of holonovel publishers and programmers seeking to block the class-action lawsuit asking for civil rights for holograms.

The group hired a retired Starfleet rear admiral, Phillipa Louvois of the Judge Advocate General's office, to lead their case and she argued that appearing sentient does not automatically mean a hologram is sentient. Unless the holograms could be determined to be intelligent and self aware, the Acts of Cumberland and the Federation Constitution did not offer them full protection.

The Soong Foundation argued that without full holoemitter technology, it could not bring withnesses to court to speak in their own defense and that court rules precluded remote testimony in matters such as this. The justices granted the Soong Foundation a delay."
"1544977602-87","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 10, Chapter 2","The Klingon Empire took advantage of the confusion with lightning strikes into Romulan space. The empire took control of the Tranome Sar and Nequencia systems in a matter of days, and was poised to strike deeper into Romulan territory.

The Klingons temporarily halted their advance when Starfleet sent a fleet to protect the Romulan/Klingon border, but tensions remained high and there were reports of minor skirmishes between Federation and Klingon starships.

The campaign to conquer Romulan space was not the only military conflict the Klingon Empire was engaged in during 2389. Their conflict with the Gorn, which had quieted after the battle for Gila IV, erupted again when the two powers struggled for control of the Gamma Orionis system.

The Gorn took the advantage when King Slathis negotiated with the Nausicaans, who agreed to contribute ships and weapons to the Gorn war efforts in exchange for rights to several asteroid belts and a substantial payment. The Klingons refused to give up the fight for Gamma Orionis, winning several battles even when outnumbered, and Starfleet Intelligence reported that there were no signs that the conflict would end anytime soon."
"1544977602-71","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 7, Chapter 8","In addition to working to curb the rising hostilities between the Klingons and the Gorn, Federation diplomats were hard at work crafting a new pact between the Federation and the Cardassians.

On Stardate 63976.74, the Cardassians signed a new treaty, in which they agreed not to field a military or wage war. In exchange, the Federation agreed to provide aid to rebuild Cardassian cities and military protection in the event of an invasion of Cardassian space.

In response to the landmark agreement, the Bajoran coalition dropped its request to prosecute Cardassians for war crimes. Many among the Bajorans and Cardassians hoped that relations between their worlds would someday be normalized.

On behalf of the Founders, Odo met with Lamat'Ukan, First of the Jem'Hadar in the Alpha Quadrant. Odo asked the Jem'Hadar to return to the Gamma Quadrant with him, but Lamat'Ukan rejected Odo as a false god.

""You wear the shape of our gods, but you do not have their spirit,"" Lamat'Ukan is reported to have said. ""You are corrupted by your ... taste for the life of a solid. To follow you would be to sacrifice our souls. There would be no victory under your banner. Without victory, there is no life."""
"1544977602-20","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 19","Complete the Path to 2409: Volume 19."
"1544977602-33","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 1, Chapter 3","The deepening economic crisis on Cardassia Prime was a concern to both the Federation and the Klingon Empire in 2380. The Cardassians were devastated by Dominion bombardment in the final days of the Dominion War, suffering more than 800 million casualties. Large portions of Cardassia Prime were in ruins and the Cardassian government did not have the resources to recover. Nevertheless, they rejected most Federation aid.

A notable exception to this stance is the Andak project, a Federation-funded program intended to restore Cardassia Prime's agricultural base. Led by Keiko O'Brien, the Andak project initially faced stiff reistance from xenophobic groups such as the True Way, as well as Gul Macet's conservative bloc of the government.

Only the influence of Cardassian governmental adviser Elim Garak, a supporter of the fledgling democracy movement, allowed the Andak project to proceed, and the team was permitted to continue its work to make the barran desert climate of Cardassia Prime support sufficient crops to feed its population.

Experts at the Daystrom Institute predicted that without more successful projects like the Andak initiative, the Cardassian Union could fall in as little as three years."
"1544977602-166","https://sto.gamepedia.com/Accolade/Lore#Volume_1","The Path to 2409: Volume 23, Chapter 5","A report from Cardassian Intelligence to Castellan Natima Lang confirmed that forces led by Gul Madred were likely to be in the possession of the warships missing from the Cardassian post-war inventories.

""They call themselves the 'True Way',"" said Bajoran activist Crom Neret.  ""They say that the only 'true way' for Cardassia is conquest and death, and they want all non-Cardassians OUT.

""I told you years ago that those missing ships were trouble,"" Crom continues.  ""But did anyone listen?  Maybe when the True Way starts attacking colonies, someone will take notice!"""
