web-scraper-order,web-scraper-start-url,link,link-href,title,text
"1529175991-44","http://zelda.wikia.com/wiki/Category:Books","Fun With Bombs","http://zelda.wikia.com/wiki/Fun_With_Bombs","Fun With Bombs","[]"
"1529176011-46","http://zelda.wikia.com/wiki/Category:Books","Farore's Memory","http://zelda.wikia.com/wiki/Farore%27s_Memory","Farore's Memory","[]"
"1529176013-47","http://zelda.wikia.com/wiki/Category:Books","Explorer's Compass","http://zelda.wikia.com/wiki/Explorer%27s_Compass","Explorer's Compass","[{""text"":""McNey studied the Cobble Kingdom extensively during his lifetime. The Explorer's Compass deals with many topics including King Mutoh, the Four Knights of the Cobble Kingdom, Aquanine and even the Uncharted Island. All four volumes hold riddles of sorts that Link can uncover by reading between the lines and thinking outside the box.""}]"
"1529176017-49","http://zelda.wikia.com/wiki/Category:Books","Dark Secrets And Mysteries Of Koholint","http://zelda.wikia.com/wiki/Dark_Secrets_And_Mysteries_Of_Koholint","Dark Secrets And Mysteries Of Koholint","[]"
"1529175950-25","http://zelda.wikia.com/wiki/Category:Books","Red Guide Book","http://zelda.wikia.com/wiki/Red_Guide_Book","Red Guide Book","[{""text"":""The Red Guide Book is available only on land, as it becomes the Blue Guide Book at sea. It is later replaced by the Hand-Me-Down Tingle Tuner.""}]"
"1529175927-15","http://zelda.wikia.com/wiki/Category:Books","So Your Son Wants to Be a Hero... It Could Be Verse!","http://zelda.wikia.com/wiki/So_Your_Son_Wants_to_Be_a_Hero..._It_Could_Be_Verse!","So Your Son Wants to Be a Hero... It Could Be Verse!","[]"
"1529175904-5","http://zelda.wikia.com/wiki/Category:Books","The Travels of Link","http://zelda.wikia.com/wiki/The_Travels_of_Link","The Travels of Link","[{""text"":""While some of these photographs can be taken at anytime once available, some are situational and cannot be taken if missed.""},{""text"":""It is possible that the photo album is named after Zelda II: The Adventure of Link, since they share somewhat similar titles.""}]"
"1529175944-23","http://zelda.wikia.com/wiki/Category:Books","Robbie's Memoirs","http://zelda.wikia.com/wiki/Robbie%27s_Memoirs","Robbie's Memoirs","[]"
"1529175912-8","http://zelda.wikia.com/wiki/Category:Books","The Legend of the Hylian Loach: Twilight Fish","http://zelda.wikia.com/wiki/The_Legend_of_the_Hylian_Loach:_Twilight_Fish","The Legend of the Hylian Loach: Twilight Fish","[]"
"1529176047-63","http://zelda.wikia.com/wiki/Category:Books","Atlas Of Koholint Island","http://zelda.wikia.com/wiki/Atlas_Of_Koholint_Island","Atlas Of Koholint Island","[{""text"":""The map will display three certain icons for special areas on the map.\n\n<img src=\""https://vignette.wikia.nocookie.net/zelda/images/b/b4/Dungeon_Indicator.png/revision/latest?cb=20100924011006\"" \t alt=\""Dungeon Indicator\""  \tclass=\""\"" \t \tdata-image-key=\""Dungeon_Indicator.png\"" \tdata-image-name=\""Dungeon Indicator.png\"" \t \t width=\""30\""  \t height=\""30\""  \t \t \t \t> Indicates a dungeon exists in that area. \n\n<img src=\""https://vignette.wikia.nocookie.net/zelda/images/0/0b/Point_of_Interest_Indicator.png/revision/latest?cb=20100924010803\"" \t alt=\""Point of Interest Indicator\""  \tclass=\""\"" \t \tdata-image-key=\""Point_of_Interest_Indicator.png\"" \tdata-image-name=\""Point of Interest Indicator.png\"" \t \t width=\""30\""  \t height=\""30\""  \t \t \t \t> Indicates a point of interest such as a house or important landmark.\n\n<img src=\""https://vignette.wikia.nocookie.net/zelda/images/7/75/Shop_Indicator.png/revision/latest?cb=20100924010914\"" \t alt=\""Shop Indicator\""  \tclass=\""\"" \t \tdata-image-key=\""Shop_Indicator.png\"" \tdata-image-name=\""Shop Indicator.png\"" \t \t width=\""30\""  \t height=\""30\""  \t \t \t \t> Indicates the presence of a shop or a game.""}]"
"1529175933-18","http://zelda.wikia.com/wiki/Category:Books","Selmie's Notes","http://zelda.wikia.com/wiki/Selmie%27s_Notes","Selmie's Notes","[]"
"1529175979-38","http://zelda.wikia.com/wiki/Category:Books","Ivee's Diary","http://zelda.wikia.com/wiki/Ivee%27s_Diary","Ivee's Diary","[{""text"":""\""Today's Recipe:\nMushroom Risotto""},{""text"":""Ingredients:""},{""text"":""Hylian Rice (one bundle)""},{""text"":""Goat Butter (one serving)""},{""text"":""Hylian Shrooms (approximately a few)""},{""text"":""Rock Salt (exactly \""a little\"")""},{""text"":""Note: Use a hearty salmon instead of Hylian Shrooms for a fish-lover's dish!\""""},{""text"":""\""Today's Recipe:\nPoultry Pilaf""},{""text"":""Ingredients:""},{""text"":""Raw Bird Drumstick (just toss a few in)""},{""text"":""Raw Bird Drumstick (actually a few more)""},{""text"":""Goat Butter (measure out \""a little\"")""},{""text"":""Hylian Rice (one \""suitable amount\"")""},{""text"":""Bird Eggs (a few should be fine)""},{""text"":""Note: Inaccurate measurements only make the dish more de-lish!\""""},{""text"":""\""Today's Recipe:\nEgg Pudding""},{""text"":""Ingredients:""},{""text"":""Bird Eggs (a few should do)""},{""text"":""Fresh Milk (a few bottles)""},{""text"":""Cane Sugar (let's say...several servings)""},{""text"":""Note: Cane sugar can be tough to come by, but the dish will fail without it.\""""}]"
"1529176053-66","http://zelda.wikia.com/wiki/Category:Books","A Hyrulean Bestiary","http://zelda.wikia.com/wiki/A_Hyrulean_Bestiary","A Hyrulean Bestiary","[{""text"":""In order to visit the Minish Elder, Librari, Link has to retrieve the book for the Royal Hyrule Library. The book had been borrowed by Julietta, who has forgotten to deliver it. In order to retrieve it, Link must push it down from a bookshelf in Juliette's house as a Minish.""}]"
"1529176044-62","http://zelda.wikia.com/wiki/Category:Books","Auto Map and Memo Guide Book","http://zelda.wikia.com/wiki/Auto_Map_and_Memo_Guide_Book","Auto Map and Memo Guide Book","[]"
"1529175931-17","http://zelda.wikia.com/wiki/Category:Books","Sheikah Sensor Notes","http://zelda.wikia.com/wiki/Sheikah_Sensor_Notes","Sheikah Sensor Notes","[]"
"1529176025-53","http://zelda.wikia.com/wiki/Category:Books","Chef Aurie Taamu, Vol. 2","http://zelda.wikia.com/wiki/Chef_Aurie_Taamu,_Vol._2","Chef Aurie Taamu, Vol. 2","[]"
"1529176023-52","http://zelda.wikia.com/wiki/Category:Books","Chief's Diary","http://zelda.wikia.com/wiki/Chief%27s_Diary","Chief's Diary","[{""text"":""\""Buliara told me today that Mother has passed on and gone to a better place... She said that my mother's death means I am now the chief of the Gerudo people. I wish she'd stayed here, though. I don't see how it can be a better place with us apart...\""""},{""text"":""\""Ever since I became the chief, the people in town have been a lot nicer to me. But if I look carefully, I can still see the worry in their eyes. It seems more common than when Mother was chief... Mother... Will I ever be as great a chief as you were?\""""},{""text"":""\""The Divine Beast Vah Naboris, which supposedly has been sleeping in the desert, has suddenly woken up. Mother once told me that Naboris is the deity of protection for the Gerudo people, but it doesn't seem that way... I plan to investigate tomorrow. I have to find out more...\""""},{""text"":""\""Having investigated Divine Beast Vah Naboris, I can say that if it came to Gerudo Town, we'd be helpless. When I drew close to it, using my wonderful sand seal Patricia, I was driven back by sandstorm and lightning. I turned Patricia toward home, but a monster spooked her, and she fled directly towards Naboris again... The next thing I remember is Buliara standing over me, her face full of worry.\""""},{""text"":""\""Even since I went to investigate the Divine Beast, Buliara has made a point of never leaving my side. Even now, with such a valuable heirloom stolen by thieves, she refuses to tear herself away from me for even a moment. She takes all the blame for the theft, however. Nothing can change her mind about being responsible. Meanwhile, I can't help but feel that the theft happened because I am not yet ready to be chief... The soldiers search tirelessly, trying to recover the heirloom. No one says a word about my leadership... But they must be thinking about how powerless their chief has proven to be.\""""},{""text"":""\""Thanks to the tireless efforts of my soldiers, we've located the thieves' hideout. They definitely aren't common criminals, though. We haven't been able to get anywhere close to the place. To think that the Thunder Helm is right there, yet we can't take it back... Mother... Lady Urbosa... Please give me your guidance...\""""}]"
"1529175948-24","http://zelda.wikia.com/wiki/Category:Books","Rem's Anthology for Sleepless Nights","http://zelda.wikia.com/wiki/Rem%27s_Anthology_for_Sleepless_Nights","Rem's Anthology for Sleepless Nights","[]"
"1529176034-57","http://zelda.wikia.com/wiki/Category:Books","Book of Seals","http://zelda.wikia.com/wiki/Book_of_Seals","Book of Seals","[{""text"":""The floor is completely intraversable unless the book has been opened and read on that, and all attempts to proceed. That is, every failed attempt will send Link back to the start, closing the book and erasing the floor until Link reads it again.""}]"
"1529175970-34","http://zelda.wikia.com/wiki/Category:Books","Legend of the Picori","http://zelda.wikia.com/wiki/Legend_of_the_Picori","Legend of the Picori","[]"
"1529176038-59","http://zelda.wikia.com/wiki/Category:Books","Book of Magic","http://zelda.wikia.com/wiki/Book_of_Magic","Book of Magic","[{""text"":""Interestingly, the Book of Magic resembles a stereotypical depiction of the holy book of Christianity, the Bible, as it has a cross on its cover. This is due to the fact that the Book of Magic was actually called the Bible in the Japanese version of the game. It was likely changed for all subsequent releases due to Nintendo of America's strict content guidelines.""},{""text"":""The 8-Bit Book of Magic is featured as Lana's 8-bit Book of Sorcery.""}]"
"1529175993-45","http://zelda.wikia.com/wiki/Category:Books","Fish Journal","http://zelda.wikia.com/wiki/Fish_Journal","Fish Journal","[{""text"":""Link obtains the Fish Journal after catching a Greengill for Sera´s cat, allowing her to reopen her shop. To catch fish, Link must equip the Fishing Rod. Any fish caught with lures or while inside Hena's Fishing Hole will not be recorded in the Fish Journal, unless Link uses his own fishing rod. The Fish Journal also does not record the catches of Bomb Fish or Skullfish, the latter being called \""forbidden\"" and the former being added to Link's bag of Water Bombs, if he is carrying them.""},{""text"":""Link can catch up to six different kinds of fish: Hyrule Bass, Hylian Pike, Greengill, Ordon Catfish, Hylian Loach (baby), and Reekfish. Unless noted, it does not matter which bait is used to catch the fish. Greengills can be found nearly everywhere. Ordon Catfish can be found in the lake in Ordon Village. Reekfish can only be caught in Zora's Domain after Link has obtained the Coral Earring. Hyrule Bass can be found either in the lake behind the Graveyard, or behind Eldin Spring in Kakariko Village. Hyrule Bass can also be caught in the southeast corner of the Fishing Hole (nearest the building). Hylian Pike can be found in the area directly south of Hyrule Castle Town. After digging on top of the large pylon surrounded by birds, Link will find a spring containing fish including Hylian Pike. The Hylian Loach (baby) can be found in the lake behind the Kakariko Graveyard, in Lanayru Spring, in the same secret grotto south of Castle Town, and within the Sacred Grove.""},{""text"":""Though the Fishing Journal is not obtainable during the game, it can be found by accessing the menu to the left inside the Collections Menu. It serves the same purpose as the Fish Journal in Twilight Princess, and it records which fish Link has caught, how many, and what size. The Journal itself serves no real purpose until Link has united Joanne and the Old Wayfarer. After doing so, the Old Wayfarer gives Link the Fishing Rod, allowing him to catch fish and ultimately obtain a Heart Container through a side quest of sorts.""},{""text"":""After Link catches a Skippyjack, Toona, and a Loovar, he can go back to the Old Wayfarer's hut on Bannan Island to be rewarded with the Big Catch Lure. This allows Link to see different looking fish shadows across the World of the Ocean King, and consequently to find new fish. After catching a Rusty Swordfish, the Old Wayfarer will tell Link of the legendary Neptoona. After catching it in a larger fish shadow, Link is rewarded with a Heart Container. Eventually, Link will also find Stowfish attached to some of the larger fish.""},{""text"":""In the 3DS remake of Majora's Mask, the Fish Journal once again appears. Unlike past depictions it appears as bulletin boards found in both the Swamp Fishing Hole and Ocean Fishing Hole. Noticing the bulletin board as an old Fish Journal apparently once used by each of the two Fishing Hole's current proprietors, Tatl will decide to use them to keep track of Link's catches. Tatl will keep a record for each species and the length of the largest one Link has caught, as well as the time & date it was caught (based on the 3DS calendar and clock). If Link examines the bulletin board before catching any fish, Tatl will tell him to go and catch a fish, and he will be unable to use the Fish Journal until he does so.""},{""text"":""Because Tatl is the one keeping track, the Journal does not reset when Link travels back in time using the Song of Time, allowing Link to keep a permanent record of his catches provided he saves using an Owl Statue.""},{""text"":""On the wall near the bulletin board are posters featuring the various species of fish that can be caught at said Fishing Hole and brief description that provides hints on how to catch them or where they typically lurk or when they can be found.""}]"
"1529175974-36","http://zelda.wikia.com/wiki/Category:Books","King Rhoam's Journal","http://zelda.wikia.com/wiki/King_Rhoam%27s_Journal","King Rhoam's Journal","[{""text"":""\""Today, as the sun rose and a new day was born, my daughter, too, joined this sweet world. In keeping with the traditions of the royal family, I have decided to name her...Zelda. I am not a man accustomed to frivolous musings, but now seems as good a time as any to begin my royal memorandum. \""""},{""text"":""\""Reports keep arriving regarding the excavation of relics. The fortune teller's predictions seem to be coming true. Calamity Ganon was not a figure of fable, or even of legend. He actually existed in our great land of Hyrule. We must investigate all the relics, learn as much as we can. But understanding the Divine Beasts alone will take time... Zelda's eyes lit up like a wildfire when I told her about the relics... I must admit, she has a knack for research.\""""},{""text"":""\""My queen has left this world. Her death was so sudden and unexpected, I awaken most nights unsure if she is really gone. Zelda never cried, never faltered. Not even during the royal funeral or later when she and I were alone with our grief. I must assume her strength is a result of us repeatedly informing her of her duty to be a valiant and steady princess. For a child of merely six years of age, her conduct was truly that of a born leader. Her strength gives me hope. From now on, I must raise her all alone... Now, only I remain to prepare her for her difficult future as princess of Hyrule.\""""},{""text"":""\""Zelda finally reported back after her visit to the fountain. It seems her sacred sealing power has still yet to awaken. It has been a year and three months since her mother passed. Perhaps she is held back by heartache too deep to heal. If the Ganon prophecy wasn't looming over our heads, I would tell her to take her time... To wait until she is ready. But our situation is dire and leaves no room for weakness—even on behalf of my beloved daughter. My heart breaks for Zelda, but I must act as a king, not a father. I must order her to train relentlessly at the fountain.\""""},{""text"":""\""I was told Zelda went off to research ancient technology, so I had no choice but to confront her about it. She claims she was simply using her day off from training to indulge in a bit of research, but still I scolded her. She won't get it through her head... Forcing me to tell her the same thing I have been repeating ad nauseam. The reason her sacred powers still won't awaken is because she's spending all her efforts playing at being a scholar!\""""},{""text"":""\""In truth, I understand Zelda's feelings. Painfully so. She lost her mother, her teacher, before she could learn from her. Ten pointless years of self-training, without so much as a book or note to help her find her way... Those in the castle talk behind her back. And I, her only family, scold her for her shortcomings. No wonder she wishes to hide away in her beloved relic research. I'd love nothing more than to console her... But I must stay strong. She MUST fulfill her duty, just as we all must. Even if she comes to despise me.\""""},{""text"":""\""I have been told my Zelda went to the Spring of Wisdom... This will likely be her last chance. If she is unable to awaken her power at Lanayru, all hope is truly lost. If she comes back without success, then I shall speak kindly with her. Scolding is pointless now. I forced 10 years of training on her... and after all that, it seems her power will stubbornly awaken some other way. Perhaps I should encourage her to keep researching her beloved relics. They may just lead her to answers I can't provide. For now, I sit anxiously, more a father than a king in this moment. I sit and await my daughter's return.\""""}]"
"1529175898-2","http://zelda.wikia.com/wiki/Category:Books","Zelda's Diary","http://zelda.wikia.com/wiki/Zelda%27s_Diary","Zelda's Diary","[{""text"":""\""After meeting with the Champions, I left to research the ancient technology, but nothing of note came of my research. The return of Ganon looms—a dark force taunting us from afar. I must learn all I can about the relics so we can stop him. If the fortune-teller's prophecy is to be believed, there isn't much time left... Ah, but turning over these thoughts in my head puts me ill at ease. I suppose I should turn in for the night.\n\nP.S. Tomorrow my father is assigning HIM as my appointed knight...\""""},{""text"":""\""I set out for Goron City today to make some adjustments to Divine Beast Vah Rudania. I still recall feeling his eyes on me as I walked ahead. The feeling stayed with me so long, I grew anxious and weary. It is the same feeling I've felt before in his company... And still, not a word passes his lips. I never know what he's thinking! It makes my imagination run wild, guessing at what he is thinking but will not say. What does the boy chosen by the sword that seals the darkness think of me? Will I ever truly know? Then, I suppose it's simple. A daughter of Hyrule's royal family yet unable to use sealing magic... He must despise me.\""""},{""text"":""\""I said something awful to him today... My research was going nowhere. I was feeling depressed, and I had told him repeatedly not to accompany me. But he did anyway, as he always does, and so I yelled at him without restraint. He seemed confused by my anger. I feel terribly guilty...and that guilt only makes me more agitated then I was before.\""""},{""text"":""\""I am unsure how to put today's events into words. Words so often evade me lately, and now more than ever. He saved me. Without a thought for his own life, he protected me from the ruthless blades of the Yiga Clan. Though I've been cold to him all this time...taking my selfish and childish anger out on him at every turn... Still, he was there for me. I won't ever forget that. Tomorrow, I shall apologize for all that has transpired between us. And then...I will try talking to him. To Link. It's worth a shot.\""""},{""text"":""\""Bit by bit, I've gotten Link to open up to me. It turns out he's quite a glutton. He can't resist a delicious meal! When I finally got around to asking why he's so quiet all the time, I could tell it was difficult for him to say. But he did. With so much at stake, and so many eyes upon him, he feels it necessary to stay strong and to silently bear any burden. A feeling I know all too well... For him, it has caused him to stop outwardly expressing his thoughts and feelings. I always believed him to be simply a gifted person who had never faced a day of hardship. How wrong I was... Everyone has struggles that go unseen by the world... I was so absorbed with my own problems, I failed to see his. I wish to talk with him more and to see what lies beneath those calm waters, to hear him speak freely and openly... And perhaps I, too, will be able to bare my soul to him and share the demons that have plagued me all these years.\""""},{""text"":""\""Father scolded me again today. He told me I am to have nothing more to do with researching ancient technology. He insisted that I focus instead on training that will help me awaken my sealing magic. I was so frustrated and ashamed I could not even speak. I've been training since I was a child, and yet... Mother passed the year before my training was to begin. In losing her, I lost not just a mother, but a teacher. Mother used to smile and tell me, \""Zelda, my love, all will be well in the end. You can do anything.\"" But she was wrong. No matter how I try or how much time passes...the sealing power that is my birthright evades me. Tomorrow I journey with Link to the Spring of Power to train. But this, too, will end in failure. Such is my curse.\""""},{""text"":""\""I had a dream last night... In a place consumed by darkness, a lone woman gazed at me, haloed by blinding light. I sensed she was...not of this world. I don't know if she was a fairy or a goddess, but she was beautiful. Her lips spoke urgently, but her voice did not reach me. Would I have heard her if my power was awoken? Or was my dream simply a manifestation of my fears? I am sure I will know the answer soon, whether I wish to or not...\""""},{""text"":""\""I turned 17 today. That means this is the day I will finally be allowed to train at the Spring of Wisdom. When Link arrives, we will set out for Mount Lanayru. The other Champions will accompany us there. I have not seen my father since he last scolded me. Things are too strained now... I will meet with him when I return. ... Actually...I've had a horrible feeling ever since that weird dream. No one would believe a failure of a princess, but... Right now, for no particular reason, I am filled with a strange and terrible certainty that something awful is about to happen.\""""}]"
"1529176040-60","http://zelda.wikia.com/wiki/Category:Books","Book of Koridai","http://zelda.wikia.com/wiki/Book_of_Koridai","Book of Koridai","[]"
"1529175985-41","http://zelda.wikia.com/wiki/Category:Books","A History of Masks","http://zelda.wikia.com/wiki/A_History_of_Masks","A History of Masks","[]"
"1529176019-50","http://zelda.wikia.com/wiki/Category:Books","Cuccodex","http://zelda.wikia.com/wiki/Cuccodex","Cuccodex","[]"
"1529175965-32","http://zelda.wikia.com/wiki/Category:Books","Married to the Moblin","http://zelda.wikia.com/wiki/Married_to_the_Moblin","Married to the Moblin","[{""text"":""The name Married to the Moblin is possibly a play on the 1988 film Married to the Mob.""}]"
